keyword,destination_url
shortlinks,https://github.com/tomeshnet/toronto-community-network/blob/master/communications/shortlinks.csv
cloud,https://cloud.tomesh.net
github,https://github.com/tomeshnet
gh,https://github.com/tomeshnet
chat,https://chat.tomesh.net/#/room/#tomesh:tomesh.net
tasks,https://github.com/tomeshnet/toronto-community-network/projects/1
new-task,https://github.com/tomeshnet/toronto-community-network/issues/new?template=task_template.md
teams,https://github.com/orgs/tomeshnet/teams
passwords,https://pass.tomesh.net
wg-call,https://ca.meet.coop/hyp-ru4-xym-ozo
pub-call,https://ca.meet.coop/hyp-wn4-6zb-dqo
public-call,https://ca.meet.coop/hyp-wn4-6zb-dqo
join,https://tomesh.net/get-involved/
wg,https://docs.tomesh.net/operations/working-groups.html
contact,https://cloud.tomesh.net/apps/onlyoffice/5150?filePath=%2Ftomeshnet-trusted%2Fcontact-management.xlsx
contacts,https://cloud.tomesh.net/apps/onlyoffice/5150?filePath=%2Ftomeshnet-trusted%2Fcontact-management.xlsx
calendar,https://calendar.google.com/calendar/embed?src=rtir6741jis1vovitm068jfob0%40group.calendar.google.com
recorded,https://ca.meet.coop/b/hyp-ru4-xym-ozo
